Date;time_in_sec;x;y;z;code observatory;R_x;R_y;R_z
2017-10-14 10:32:40.704;0.0;0.30367874458501715;0.9517782774665112;-0.043558358901004915;703;139268819.01183167;49132036.94728848;21301478.811798938
2017-10-17 08:58:25.824;253545.12000000104;0.7749056200907635;0.6317827448287109;0.019283238536343235;703;136260603.80585763;55510077.07367597;24066514.88402663
2017-10-18 11:21:05.386;348504.6816000007;0.8655354372315507;0.4995039717091578;0.036663185120300104;F51;135043135.70036933;57863204.078439735;25087185.00704595
2017-10-18 11:59:51.187;350830.48319999874;0.867281103200535;0.4964393023695842;0.03703386415246778;F51;135011948.8751253;57921289.15398233;25112058.782326464
2017-10-19 09:31:53.760;428353.0560000017;0.9143923094328258;0.4019743369541664;0.04799309200668017;F51;133981793.76228505;59823438.30813684;25937942.712687917
2017-10-19 09:48:03.168;429322.46400000155;0.9148716323211625;0.40086765624633336;0.048114639659705534;F51;133968560.4175143;59847577.19344021;25948231.30762187
2017-10-19 10:04:20.784;430300.08000000194;0.9153542731917303;0.39974959757467937;0.0482370582490371;F51;133955181.25378557;59871908.52935825;25958606.071965456
2017-10-19 10:20:43.238;431282.53440000117;0.9158362007645164;0.39862957854905173;0.04835816864834255;F51;133941702.47541578;59896346.17530837;25969031.225695714
2017-10-19 20:39:26.208;468405.50400000066;0.9320794563041219;0.35840552654413865;0.05266275418577429;104;133434511.21009298;60799778.4005365;26360822.116958477
2017-10-19 20:43:04.800;468624.09600000083;0.9321730367047039;0.3581598567310318;0.052677762548703454;246;133431177.05179296;60805501.86318376;26362746.81737089
2017-10-19 20:43:26.400;468645.6959999986;0.9321786475294139;0.35814489718945236;0.05268018325128744;246;133430880.99900052;60806035.19063884;26362975.15372279
2017-10-19 20:44:31.200;468710.49599999934;0.9322039051252252;0.35807758271908363;0.05269083433897932;246;133429992.76337326;60807635.17322099;26363660.159910828
2017-10-19 20:45:29.088;468768.3839999996;0.9322253219499554;0.35801968423047936;0.05270535853980796;104;133429546.5147373;60808747.357407406;26364658.171272825
2017-10-19 20:51:25.920;469125.2160000019;0.9323669603605766;0.35764466715382787;0.05274602624280416;104;133424660.7817352;60817567.036325485;26368430.16034732
2017-10-19 22:34:56.698;475335.9935999997;0.9347643129229916;0.35122199188276504;0.053467669703386664;J04;133340197.54076792;60968694.57974333;26435090.83495952
2017-10-19 22:39:13.046;475592.3423999995;0.9348628855108442;0.35095524642134696;0.05349579706546977;J04;133336681.73096852;60975045.56755191;26437798.858701788
2017-10-20 04:08:24.000;495343.2960000001;0.9419707923698435;0.33106363739139405;0.05556882506683814;I52;133062985.57590409;61454846.73766602;26646004.28373935
2017-10-20 04:09:48.672;495427.9679999985;0.94200042546502;0.33097784770032285;0.05557753822708414;I52;133061821.22206903;61456937.290807016;26646896.930349708
2017-10-20 04:11:15.072;495514.3680000007;0.9420303167324157;0.330891379199556;0.05558576731898573;I52;133060632.86686538;61459070.561498225;26647807.786645707
2017-10-20 04:12:39.744;495599.0399999991;0.9420594782920991;0.33080696323309766;0.055593996407111504;I52;133059468.0440667;61461161.21769898;26648700.41837745
2017-10-21 05:22:08.544;586167.8399999999;0.9662459495956363;0.24961083445386417;0.06374320523218793;291;131780163.8495458;63655095.6917812;27599079.501647748
2017-10-21 05:25:46.272;586385.568;0.9662909623647613;0.24943207292603514;0.06376062302083067;291;131777036.37731372;63660426.86120841;27601353.270627927
2017-10-21 05:29:25.728;586605.0240000002;0.9663364556110526;0.24925118726855755;0.06377852461669628;291;131773882.44684009;63665800.2304857;27603645.03426788
2017-10-21 08:59:39.264;599218.5599999987;0.9688411818404264;0.23906944497813923;0.0647500181304249;926;131589967.93563469;63973808.47345259;27735309.159845144
2017-10-21 09:04:22.656;599501.9519999996;0.9688949789401762;0.23884502741513622;0.06477324033563786;926;131585784.11916138;63980691.43915918;27738264.681738444
2017-10-21 09:09:06.048;599785.3440000005;0.9689489980489794;0.23862066523090647;0.06479210835154547;926;131581598.54202895;63987572.29157834;27741220.11582294
2017-10-22 07:07:47.712;678907.0080000013;0.9808806740959457;0.1815202945283318;0.0701675556039318;H06;130423811.6359792;65881008.117694855;28562672.80138321
2017-10-22 07:13:41.952;679261.2479999997;0.9809232962881294;0.18128177557586386;0.07018835119372045;H06;130418471.87114023;65889571.92890204;28566334.98295192
2017-10-22 07:19:22.368;679601.6640000008;0.9809636552596511;0.18105538014740946;0.07020866313569421;H06;130413337.0562926;65897799.36257795;28569854.11811545
2017-10-22 08:54:50.256;685329.5520000011;0.9816146553477312;0.17734377357817452;0.07058225258241788;568;130329649.95407683;66032201.47456495;28629686.714025535
2017-10-22 08:56:31.776;685431.0720000006;0.9816263483643086;0.1772765939959715;0.07058839435870878;568;130328130.70830718;66034664.568502694;28630735.477478657
2017-10-22 08:58:32.131;685551.4272000007;0.9816401987627572;0.17719705155874538;0.07059550334052307;568;130326329.1031024;66037584.53921037;28631978.805264074
12011-03-03 11:10:17.472;315360693456.768;0.9824997786951452;0.17212458608275527;0.0711850527135518;Q62;138585683.6608245;54842025.00953664;20777170.17616279
12011-03-03 11:17:11.328;315360693870.624;0.9825442769783177;0.17186137850584476;0.07120681396626014;Q62;138580907.27776185;54852515.40452112;20781543.7936633
12011-03-03 11:24:05.184;315360694284.48004;0.9825896912951294;0.17159170456324097;0.07123050951399741;Q62;138576126.26763046;54863007.250622295;20785920.056154538
2017-10-23 04:31:09.120;755908.4160000011;0.9881037036511252;0.13458845508691406;0.07441114559155142;734;129264372.39174917;67706707.74298218;29354857.86168659
2017-10-23 04:41:28.608;756527.9039999992;0.988149418893582;0.13423605131553426;0.07444063720502214;734;129254897.24238455;67721574.63655505;29361205.9572421
2017-10-23 04:51:48.096;757147.3920000009;0.9881949817794373;0.13388436026661693;0.07446916181840772;734;129245410.00382623;67736439.42489138;29367553.613171123
2017-10-23 09:13:24.470;772843.766400002;0.9892686006586119;0.12522234660316872;0.07527947703157707;568;129005971.48657426;68107861.49361722;29529267.74103284
2017-10-23 09:15:11.347;772950.6431999989;0.9892755315340248;0.1251640906227052;0.07528527828642158;568;129004318.63949637;68110428.10710338;29530360.82976165
2017-10-23 09:17:04.013;773063.3088000007;0.9892829755767792;0.1251019525574513;0.07529074113240397;568;129002575.82304925;68113133.5997677;29531513.10961843
2017-10-24 05:36:53.280;846252.5760000013;0.9929954685087842;0.08830513851842828;0.07849969447240823;G96;127864542.85903445;69831208.79212326;30276179.914390113
2017-10-24 05:44:24.288;846703.5839999989;0.9930125267584722;0.08809631078071185;0.07851854384527648;G96;127857425.30636683;69841931.55049498;30280752.31057444
2017-10-24 05:51:54.432;847153.7280000001;0.9930300239490524;0.08788461127525721;0.07853449329270187;G96;127850314.58571528;69852632.39098099;30285315.707859185
2017-10-24 05:59:22.848;847602.1440000013;0.9930474272936902;0.08766999283934068;0.07855430924483357;G96;127843224.43315142;69863290.59918034;30289861.349297047
2017-10-25 01:04:01.171;916280.4671999998;0.9950134875784966;0.05786552035637932;0.08123879055452804;309;126750278.1231731;71459185.0360753;30983522.834064636
2017-10-25 01:12:15.725;916775.0207999982;0.995023896867937;0.057661745332549245;0.08125618614572722;309;126742390.63868394;71470847.2459755;30988493.444600586
2017-10-25 01:28:38.179;917757.4752000012;0.9950444507910141;0.05725694060641642;0.08129073564928802;309;126726696.80854586;71494019.68797491;30998366.92345067
2017-10-25 02:41:24.403;922123.6992000006;0.9951335138953343;0.055466005882226624;0.08144207581955028;309;126656537.17812844;71597031.79678868;31042232.534760963
2017-10-25 02:49:20.381;922599.6768000014;0.9951429648205228;0.05527169337757812;0.08145869799717415;309;126648847.51320833;71608259.39887673;31047013.088766992
2017-10-25 04:42:03.168;929362.4640000015;0.9952771405436824;0.052597190643758535;0.08159012837087055;926;126539315.16174722;71763665.70665541;31114548.19309577
2017-10-25 04:59:04.416;930383.7120000012;0.9952954688024108;0.05218880520621127;0.08162878409322025;926;126522843.55480471;71787706.28218757;31124795.452476528
2017-10-25 05:16:05.664;931404.9600000009;0.9953145298315719;0.05177755733335283;0.08165825899900393;926;126506336.46774055;71811745.15730387;31135041.44442607
2017-10-25 05:34:10.848;932490.1440000013;0.9953339889499222;0.05134528505762582;0.08169401534621278;V03;126488414.56911458;71837176.61097199;31145576.970031064
2017-10-25 05:48:06.336;933325.6319999993;0.9953486862069852;0.0510092944873461;0.08172542286174858;G96;126475138.30767418;71856941.69938889;31154251.514864095
2017-10-25 05:51:56.160;933555.4560000002;0.9953528633172954;0.050912985337467215;0.08173460350480853;G96;126471403.69711839;71862347.37357636;31156556.58463663
2017-10-25 05:52:19.920;933579.2160000019;0.9953540645500295;0.05090578942647956;0.08172445647786519;V03;126470741.70699362;71862773.60754213;31156500.57533938
2017-10-25 05:55:57.216;933796.5119999982;0.9953568622006731;0.05081376431130016;0.08174764966985802;G96;126467484.68085663;71868016.76401363;31158974.23905955
2017-10-25 06:00:06.048;934045.3440000005;0.9953611379149497;0.05070657461802198;0.0817621453923736;G96;126463437.22405581;71873868.50239842;31161469.80807436
2017-10-25 21:02:45.888;988205.1840000004;0.9960421390087131;0.030553643261183327;0.08346575466870108;104;125578863.81870873;73121261.4092298;31701962.996490635
2017-10-25 21:32:10.176;989969.4719999991;0.9960569503511927;0.02991897957919053;0.08351889796939233;104;125549774.58510406;73162375.57224083;31719532.74357161
2017-10-25 21:41:52.512;990551.808000002;0.9960616376981909;0.029709593801191436;0.08353773962806292;104;125540153.12180015;73175942.16197154;31725331.11195964
2017-10-25 23:29:42.144;997021.4400000013;0.9961086244896129;0.027440553190761493;0.08375335371193461;950;125434513.61234057;73324482.87733762;31790724.38415551
2017-10-25 23:32:09.542;997168.8383999988;0.9961096270221939;0.02739113989360661;0.08375760508177536;950;125432071.5627874;73327924.49123366;31792190.744979866
2017-10-25 23:34:36.941;997316.2368000001;0.996110698080587;0.0273381038235171;0.08376219462705128;950;125429628.76555681;73331365.93383428;31793657.078807887
2017-10-26 00:17:44.016;999903.311999999;0.9961288928650494;0.026422722907982137;0.08383954027533243;950;125386633.65819895;73391733.60775372;31819389.15883803
2017-10-26 00:20:11.414;1000050.7104000002;0.9961299276892056;0.026370628982202576;0.08384364668226799;950;125384177.28217357;73395170.64710352;31820854.991074167
2017-10-26 00:22:38.726;1000198.0223999992;0.9961309368044896;0.026319404308239813;0.0838477530877797;950;125381721.63521492;73398605.36997081;31822319.937025636
2017-10-26 00:50:30.480;1001869.7760000005;0.996142034915135;0.025733028314507307;0.08389789943078962;950;125353805.07548235;73437560.80850862;31838942.81304814
2017-10-26 00:52:57.878;1002017.174399998;0.996143118371839;0.025679848779476728;0.08390132947153782;950;125351339.44269876;73440993.29572;31840408.283372298
2017-10-26 02:11:17.002;1006716.2976000011;0.9961698570012949;0.024171174498963888;0.08403196014231899;675;125272213.40786095;73541878.35301766;31886850.51210597
2017-10-26 02:13:41.030;1006860.3264000006;0.9961707020529674;0.024121179566439697;0.08403630803183634;675;125269871.98213877;73545215.59625384;31888281.45476576
2017-10-26 02:19:14.016;1007193.311999999;0.9961726931063253;0.02400669990408388;0.0840454869044521;675;125264456.86586803;73552932.55031417;31891589.604551878
2017-10-26 02:21:37.008;1007336.3040000014;0.9961735531590306;0.02395743030606972;0.08404935169078846;675;125262130.66608581;73556247.0095643;31893010.160391502
2017-10-26 03:12:31.680;1010390.9759999998;0.9318386379400189;0.2500485986222035;0.26296853646237334;309;125213576.30347458;73631361.07708451;31923818.022129305
2017-10-26 03:19:26.400;1010805.6959999986;0.688017835616683;0.6885183583232626;0.22929005239036118;309;125206664.37983854;73641031.48947287;31927936.542143416
2017-10-26 03:26:19.910;1011219.2063999996;0.9961885853750945;0.022550870274542986;0.08426007725031225;309;125199766.62311432;73650671.91140959;31932042.836230196
2017-10-26 04:26:28.493;1014827.7888000011;0.9962071634057531;0.02130968535017466;0.08436340965928027;309;125139325.4862723;73734702.43245716;31967868.17539722
2017-10-26 05:54:13.536;1020092.8319999985;0.9962375939504453;0.019569391717323133;0.08442567919561883;V06;125052173.3107639;73853385.44232836;32019693.854782566
2017-10-26 05:57:53.856;1020313.1519999988;0.9962389216353323;0.019493317592980623;0.08442761152661678;V06;125048492.47242355;73858510.11339067;32021879.06438003
2017-10-26 06:01:35.040;1020534.3359999992;0.9962395137246512;0.01942737581259064;0.08443582392981579;V06;125044795.5912994;73863654.41181658;32024072.782166906
2017-10-26 06:05:15.360;1020754.6559999995;0.9962406284640608;0.0193469490802103;0.08444113783471183;V06;125041111.55462484;73868778.1259833;32026257.869710013
2017-10-26 06:53:14.208;1023633.5040000007;0.9962518144079181;0.01837527052577049;0.08452615998633664;291;124992890.69879192;73935612.16325916;32054830.488838013
2017-10-26 06:58:26.976;1023946.2719999999;0.9962531041813649;0.01826948216447626;0.08453388924234098;291;124987631.01067272;73942874.05080669;32057931.21668924
2017-10-26 07:03:38.016;1024257.311999999;0.9962542874916043;0.01816441673761266;0.08454258464926585;291;124982397.41692138;73950094.22915255;32061014.69116664
2017-10-26 07:05:51.936;1024391.2320000008;0.9962551567146741;0.018114425706809364;0.08454306772723957;926;124980133.92053877;73953275.8620106;32062370.78305034
2017-10-26 07:11:12.480;1024711.7760000005;0.9962562137324902;0.018008633457069982;0.08455321236009729;926;124974734.34726118;73960713.95815563;32065548.295908216
2017-10-26 07:12:32.832;1024792.1279999986;0.9962562488299083;0.017983993122002866;0.0845580431345682;926;124973380.33539422;73962578.20412554;32066344.794978194
2017-10-26 07:25:07.968;1025547.2639999986;0.9962590570430107;0.01772893787498527;0.08457881544214431;926;124960646.27102208;73980092.20470066;32073829.77491338
2017-10-26 07:25:56.352;1025595.6479999982;0.996259286678028;0.017713722643299033;0.08457929851862736;926;124959829.79419222;73981214.00941475;32074309.337163903
2017-10-26 07:30:30.240;1025869.5360000022;0.9962601009492723;0.017623870765954223;0.0845884769680281;926;124955206.69014552;73987563.34913535;32077023.94623373
2017-10-26 07:35:50.784;1026190.0800000019;0.9962612793904373;0.017515182566337238;0.08459717233452387;926;124949793.35531421;73994992.35343832;32080200.8602918
2017-10-26 19:42:08.352;1069767.6479999982;0.996307957540263;0.003769052132587983;0.08576857226263687;204;124219338.37452428;74983355.45087367;32509830.07224873
2017-10-26 19:59:39.840;1070819.136;0.9963066914026335;0.0034408288364291637;0.08579707083144485;204;124201706.3765566;75007574.2897594;32520189.63552844
2017-10-26 20:17:11.328;1071870.6240000017;0.9963056007860382;0.0031147812925489573;0.08582218815592443;204;124184043.7327403;75031797.02868022;32530547.779603872
2017-10-26 21:25:46.646;1075985.942400001;0.9962893243825836;0.0018344918841282937;0.08604775860429054;K93;124115330.09528446;75127798.26901588;32572016.104491226
2017-10-26 21:29:55.478;1076234.7743999995;0.9962887093323958;0.0017591402606252828;0.08605645288025929;K93;124111094.64774911;75133541.6326778;32574465.848920945
2017-10-26 21:31:18.509;1076317.8048;0.9962885034526687;0.0017337815685979654;0.08605935097079254;K93;124109680.91722324;75135457.91539921;32575283.263387106
2017-10-26 21:35:27.600;1076566.8960000016;0.9962883027617118;0.0016555326925910354;0.0860632150903708;K93;124105438.397862;75141206.24912603;32577735.453880936
2017-10-27 03:07:50.016;1096509.311999999;0.9962453771453675;-0.004195546873090473;0.08647280441225504;850;123767512.25682051;75591251.10740463;32773612.077970725
2017-10-27 03:31:42.528;1097941.824000001;0.9962400618799826;-0.004628775751243612;0.08651192715697173;850;123743156.95777561;75624231.47986804;32787674.614116002
2017-10-27 03:55:54.048;1099393.3440000005;0.9962356586217572;-0.005059832886021913;0.08653849190758522;850;123718410.08912559;75657640.49433422;32801921.053466827
2017-10-27 05:11:27.456;1103926.7520000003;0.9962180511984454;-0.006392088388385961;0.08665296112889999;850;123640687.29377472;75761859.00718984;32846398.251532294
2017-10-27 05:57:32.256;1106691.552000001;0.9962059578199505;-0.007191853416429705;0.08672927330764198;850;123592983.92140783;75825270.20512713;32873510.61211364
2017-10-27 06:27:49.853;1108509.1488000005;0.9961973522367582;-0.0076354722075496154;0.08679017778896489;568;123563460.9042865;75860741.02605085;32892113.86618173
2017-10-27 06:47:20.227;1109679.5232000016;0.9961921446621784;-0.007975148398304618;0.08681939830126949;568;123543668.53057715;75887678.37403274;32903584.224540148
2017-10-27 06:50:58.560;1109897.8559999987;0.996191906247047;-0.008101716354653097;0.0868104148128752;926;123539062.67343454;75896985.55745743;32905165.728896372
2017-10-27 06:56:18.240;1110217.5360000022;0.9961904620919119;-0.008190817936613222;0.08681862552835179;926;123533546.13456346;75904323.20408113;32908298.55412231
2017-10-27 07:01:37.920;1110537.2160000019;0.9961893586174146;-0.008283544719949909;0.08682248939241784;926;123528026.49374336;75911659.1089987;32911431.24692855
2017-10-27 07:18:33.379;1111552.6752000004;0.9961836196485652;-0.008517726779508935;0.08686566798449433;568;123511890.25590774;75930808.7316524;32921938.551418558
2017-10-27 07:55:30.490;1113769.7855999991;0.9961732218505633;-0.009157439100542281;0.08691981003769092;568;123474111.65854299;75981869.34294003;32943657.372049663
2017-10-27 09:09:49.421;1118228.7168000005;0.9961512042850119;-0.01043741366250401;0.08702780358918757;568;123397586.79980867;76084495.69572046;32987317.93357247
2017-10-27 18:52:37.056;1153196.3520000018;0.9959389085329609;-0.019865662324392793;0.08781256134852225;J95;122793487.46753211;76867581.9714958;33326757.949330147
2017-10-27 20:49:37.834;1160217.1295999996;0.9958748949316789;-0.02174963078552737;0.08809169771045777;K93;122674398.58716713;77028806.55508937;33396525.177565537
2017-10-27 20:58:44.746;1160764.0416;0.9958708460507939;-0.02189735372144278;0.08810087335590933;K93;122664887.19463474;77041293.9016621;33401847.543903302
2017-10-27 21:00:02.851;1160842.1471999995;0.9958701278101685;-0.02191835039119279;0.08810377092660417;K93;122663528.04599445;77043077.03427592;33402607.60972273
2017-10-27 21:02:39.322;1160998.6175999977;0.9958689781483873;-0.021958900886093903;0.0881066684965535;K93;122660804.63305402;77046649.04897411;33404130.23963909
2017-10-27 21:15:16.704;1161756.0;0.995862927705487;-0.02215874804526523;0.08812501975558557;K91;122647610.81707817;77063935.70690824;33411499.95988549
2017-10-27 21:17:53.952;1161913.2479999997;0.9958616400471716;-0.022199295326933554;0.08812936610202833;K91;122644869.1643724;77067524.00826143;33413029.968114723
2017-10-27 21:20:32.064;1162071.3599999994;0.9958604788712673;-0.02223984540198404;0.08813226366539137;K91;122642111.63893811;77071131.74451315;33414568.350259215
2017-10-27 21:46:10.848;1163610.1440000013;0.995859114654323;-0.02262094222518765;0.08805064867877263;J95;122614267.18471396;77104161.53453682;33428127.943233754
2017-10-28 01:05:44.160;1175583.4560000002;0.9957601793212336;-0.025724178426042073;0.08831722324920376;J95;122404868.20990644;77375587.49850103;33544500.90283794
2017-10-28 04:34:04.166;1188083.4624000005;0.9956488116296619;-0.028816067729482524;0.08861759498571377;H01;122189870.88595852;77652011.47906752;33667092.49946158
2017-10-28 04:50:11.155;1189050.451200001;0.9956398946621253;-0.02906074521658646;0.08863787703148514;H01;122172990.64063182;77674004.29378955;33676465.75493805
2017-10-28 04:59:41.395;1189620.6911999993;0.9956346471987919;-0.029203351221358954;0.08864994966032985;H01;122163021.74857585;77686971.94157578;33681992.6493044
2017-10-28 05:15:37.411;1190576.707200002;0.9956256341159357;-0.029445125794512746;0.08867119745546537;H01;122146284.68992722;77708708.3802843;33691257.60664914
2017-10-29 06:55:31.238;1282970.5344000012;0.9946038613048812;-0.050617234749785175;0.09055967437941503;H01;120510639.4139904;79762415.51134643;34580697.62220203
2017-10-29 07:08:09.398;1283728.6944000013;0.9945943010160678;-0.050780636349633174;0.09057319337577723;H01;120496881.27809046;79779373.16182888;34587947.1759299
2017-10-29 07:16:45.984;1284245.2800000012;0.9945877402403723;-0.050888352315500186;0.09058478107366076;705;120487471.51258956;79791065.38922063;34592959.54958275
2017-10-29 07:19:11.222;1284390.5184000023;0.9945859126088233;-0.05092234217151363;0.0905857467145975;H01;120484858.52240016;79794166.53633013;34594274.91791121
2017-10-29 07:26:17.952;1284817.2479999997;0.9945808238742718;-0.05100620236209355;0.09059443747919554;705;120477067.93874584;79803843.29627773;34598427.81295806
2017-10-29 07:29:17.146;1284996.4415999986;0.9945781485476811;-0.05105320196840668;0.09059733439919512;H01;120473841.13242717;79807702.17561446;34600067.662166014
2017-10-29 07:36:02.016;1285401.311999999;0.9945730286315402;-0.05113488480603676;0.09060747361315646;705;120466435.70573765;79816883.71644808;34604011.25599459
2017-10-29 07:52:58.080;1286417.3759999983;0.9945601510477574;-0.05135322847502862;0.09062533791966489;705;120447919.4480814;79839549.97538175;34613723.347080946
2017-10-29 08:02:32.640;1286991.9360000007;0.9945527984241003;-0.051477581880402;0.09063547710768421;705;120437438.24453397;79852355.81370768;34619214.67416109
2017-10-29 08:05:42.720;1287182.015999999;0.9945497999255359;-0.051525289646369384;0.09064127092519154;705;120433969.14611319;79856590.46271692;34621031.25359793
2017-10-30 04:03:39.312;1359058.607999999;0.9935900644313405;-0.06574670369986785;0.09195735324554968;H01;119134122.2295397;81427381.14988582;35304163.62617404
2017-10-30 04:11:22.416;1359521.7120000012;0.9935833787759207;-0.06583552514518427;0.09196604291303906;H01;119125674.94474767;81437656.66918485;35308541.64845791
2017-10-30 04:22:03.936;1360163.2320000008;0.9935739244741462;-0.06596190071171476;0.09197762912546362;G37;119113877.27055617;81451507.48646417;35314557.682735324
