Date (UT)	J2000 RA	J2000 Dec	Magn	Location	Ref
2017 12 12.083467	23 20 53.382	+07 45 49.84	 	250 – Hubble Space Telescope	MPC 110735
2017 12 12.089728	23 20 53.428	+07 45 51.86	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.320620	23 31 48.321	+09 16 31.37	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.326882	23 31 48.484	+09 16 34.18	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.333143	23 31 48.597	+09 16 36.83	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.339405	23 31 48.704	+09 16 39.00	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.345666	23 31 48.841	+09 16 40.54	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.453062	23 31 53.051	+09 17 08.10	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.459324	23 31 53.213	+09 17 10.92	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.465585	23 31 53.329	+09 17 13.56	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.471847	23 31 53.435	+09 17 15.72	 	250 – Hubble Space Telescope	MPC 110735
2018 01 02.478108	23 31 53.570	+09 17 17.23	 	250 – Hubble Space Telescope	MPC 110735
